source,target,label,weight
sugarcane bagasse,sugar,enzymatic hydrolysis,1
algae,biogas,hydrolysis,1
algae,bioethanol,hydrolysis,1
algae,enzyme,hydrolysis,1
algae,acetic acid,hydrolysis,1
algae,biodiesel,hydrolysis,1
algae,biomass,hydrolysis,1
algae,biogas,harvesting,1
algae,bioethanol,harvesting,1
algae,enzyme,harvesting,1
algae,acetic acid,harvesting,1
algae,biodiesel,harvesting,1
algae,biomass,harvesting,1
black liquor,sugar,enzymatic hydrolysis,1
black liquor,biomass,enzymatic hydrolysis,1
black liquor,sugar,hydrolysis,1
black liquor,biomass,hydrolysis,1
hemicellulose,ethanol,biorefinery,1
hemicellulose,furfural,biorefinery,1
hemicellulose,biomass,biorefinery,1
hemicellulose,ethanol,saccharification,1
hemicellulose,furfural,saccharification,1
hemicellulose,biomass,saccharification,1
cellulose,furfural,biorefinery,1
cellulose,ethanol,saccharification,1
cellulose,furfural,saccharification,1
microalgae,microalgae biomass,pyrolysis,1
cellulose,ethanol,harvesting,1
cellulose,biomass,harvesting,1
hemicellulose,glucose,hydrolysis,1
hemicellulose,xylose,hydrolysis,1
hemicellulose,glucose,acid hydrolysis,1
hemicellulose,xylose,acid hydrolysis,1
cellulose,xylose,hydrolysis,1
cellulose,glucose,acid hydrolysis,1
cellulose,xylose,acid hydrolysis,1
cellulose,glucan,enzymatic hydrolysis,1
cellulose,glucan,hydrolysis,1
microalgae,methane,methane production,1
microalgae,lipid,methane production,1
microalgae,biomass,methane production,1
microalgae,methane,biorefinery,1
microalgae,lipid,biorefinery,1
sugarcane,enzyme,enzymatic hydrolysis,1
sugarcane,enzyme,hydrolysis,1
sugarcane bagasse,enzyme,enzymatic hydrolysis,1
sugarcane bagasse,enzyme,hydrolysis,1
gracilaria biomass,bioethanol,enzymatic hydrolysis,1
gracilaria biomass,bioethanol,bioethanol production,1
gracilaria biomass,bioethanol,hydrolysis,1
cellulose,pulp,enzymatic hydrolysis,1
cellulose,pulp,hydrolysis,1
sugarcane,pulp,enzymatic hydrolysis,1
sugarcane,pulp,hydrolysis,1
sugarcane bagasse,pulp,enzymatic hydrolysis,1
sugarcane bagasse,pulp,hydrolysis,1
black liquor,biogas,gasification,1
black liquor,biomass,gasification,1
black liquor,biogas,pyrolysis,1
black liquor,biomass,pyrolysis,1
sludge,biogas,gasification,1
sludge,biomass,gasification,1
sludge,biogas,pyrolysis,1
sludge,biomass,pyrolysis,1
macroalgal biomass,protein,enzymatic hydrolysis,1
macroalgal biomass,lipid,enzymatic hydrolysis,1
macroalgal biomass,protein,hydrolysis,1
macroalgal biomass,lipid,hydrolysis,1
globosa biomass,ethanol,saccharification,1
globosa biomass,ethanol,yeast,1
cellulose,glucose,esterification,1
cellulose,biomass,esterification,1
cellulose,glucose,saccharification,1
microalgae,microalgae residual biomass,pyrolysis,1
microalgae,lipid,saccharification,1
microalgae,microalgae residual biomass,saccharification,1
carbohydrate,biomass,pyrolysis,1
carbohydrate,microalgae residual biomass,pyrolysis,1
carbohydrate,lipid,saccharification,1
carbohydrate,biomass,saccharification,1
carbohydrate,microalgae residual biomass,saccharification,1
microalgae residual biomass,lipid,pyrolysis,1
microalgae residual biomass,lipid,saccharification,1
microalgae,bioethanol,biorefinery,1
microalgae,biodiesel,biorefinery,1
microalgae,bioethanol,pyrolysis,1
microalgae,protein,protein extraction,1
microalgae,biomass,protein extraction,1
microalgae,protein,harvesting,1
microalgae,biomass,harvesting,1
microalgae,press cake,co-digestion,1
microalgae,ethanol,co-digestion,1
microalgae,biodiesel,co-digestion,1
microalgae,biomass,co-digestion,1
microalgae,press cake,pyrolysis,1
microalgae,ethanol,pyrolysis,1
microalgae,methane,gasification,1
microalgae,biodiesel,gasification,1
microalgae,hydrogen,gasification,1
microalgae,methane,pre-treatment,1
microalgae,biodiesel,pre-treatment,1
microalgae,hydrogen,pre-treatment,1
microalgae,biomass,pre-treatment,1
microalgae,microalgae biomass,pre-treatment,1
microalgae biomass,methane,gasification,1
microalgae biomass,biodiesel,gasification,1
microalgae biomass,hydrogen,gasification,1
microalgae biomass,methane,pre-treatment,1
microalgae biomass,biodiesel,pre-treatment,1
microalgae biomass,hydrogen,pre-treatment,1
microalgae,microalgae biomass,saccharification,1
sugarcane,glucose,pre-treatment,1
sugarcane,sugar,pre-treatment,1
sugarcane,xylose,pre-treatment,1
sugarcane,xylose,hydrolysis,1
sugarcane bagasse,glucose,pre-treatment,1
sugarcane bagasse,sugar,pre-treatment,1
sugarcane bagasse,xylose,pre-treatment,1
sugarcane bagasse,xylose,hydrolysis,1
macroalgal biomass,bioethanol,pre-treatment,1
macroalgal biomass,bioethanol,saccharification,1
microalgae,ethanol,hydrolysis,1
microalgae,ethanol,yeast,1
microalgae,biomass,yeast,1
cellulose,ethanol,bioethanol production,1
microalgae,protein,pyrolysis,1
microalgae,protein,hydrolysis,1
microalgae,lipid,hydrolysis,1
carbohydrate,protein,pyrolysis,1
carbohydrate,protein,hydrolysis,1
carbohydrate,lipid,hydrolysis,1
algae,biomass,biorefinery,1
algae,algae biomass,biorefinery,1
algae,biomass,fractionation,1
algae,algae biomass,fractionation,1
hemicellulose,bioethanol,enzymatic hydrolysis,1
hemicellulose,ethanol,enzymatic hydrolysis,1
hemicellulose,biomass,enzymatic hydrolysis,1
hemicellulose,bioethanol,hydrolysis,1
hemicellulose,ethanol,hydrolysis,1
hemicellulose,biomass,hydrolysis,1
cellulose,bioethanol,enzymatic hydrolysis,1
sugarcane,sugar,lignocellulosic biorefinery,1
sugarcane,electricity,lignocellulosic biorefinery,1
sugarcane bagasse,sugar,lignocellulosic biorefinery,1
sugarcane bagasse,electricity,lignocellulosic biorefinery,1
sugarcane,heat,biorefinery,1
sugarcane,itaconic acid,biorefinery,1
sugarcane,sugar,integrated biorefinery,1
sugarcane,heat,integrated biorefinery,1
sugarcane,itaconic acid,integrated biorefinery,1
sugarcane,electricity,integrated biorefinery,1
sugarcane bagasse,heat,biorefinery,1
sugarcane bagasse,itaconic acid,biorefinery,1
sugarcane bagasse,sugar,integrated biorefinery,1
sugarcane bagasse,heat,integrated biorefinery,1
sugarcane bagasse,itaconic acid,integrated biorefinery,1
sugarcane bagasse,electricity,integrated biorefinery,1
microalgae,microalgae biomass,biorefinery,1
microalgae,biomass,drying,1
microalgae,microalgae biomass,drying,1
sugarcane,microalgae biomass,biorefinery,1
sugarcane,biomass,drying,1
sugarcane,microalgae biomass,drying,1
algal biomass,biodiesel,gasification,1
algal biomass,glycerol,gasification,1
algal biomass,biodiesel,transesterification,1
algal biomass,glycerol,transesterification,1
sugarcane,ethanol,biorefinery,1
phaeodactylum tricornutum,paper,biorefinery,1
phaeodactylum tricornutum,solvent,biorefinery,1
phaeodactylum tricornutum,biomass,biorefinery,1
phaeodactylum tricornutum,paper,integrated biorefinery,1
phaeodactylum tricornutum,solvent,integrated biorefinery,1
phaeodactylum tricornutum,biomass,integrated biorefinery,1
microalgae,paper,bioethanol production,1
microalgae,bioethanol,bioethanol production,1
microalgae,biomass,bioethanol production,1
microalgae,paper,hydrolysis,1
microalgae,bioethanol,hydrolysis,1
macroalgal biomass,glucose,biorefinery,1
macroalgal biomass,xylose,biorefinery,1
macroalgal biomass,glucose,hydrolysis,1
macroalgal biomass,xylose,hydrolysis,1
macroalgal biomass,glucose,acid hydrolysis,1
macroalgal biomass,xylose,acid hydrolysis,1
